Continent,Country,Last_Updated_Date,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Population,Population_Density,Median_Age,Aged_65_Older,Aged_70_Older,GDP_Per_Capita
Asia,Georgia,11-10-2021,635583,9269,159703.33,2329.027,8900000,0.055,1882118,1002488,879630,3979773,65.032,38.7,14.864,10.244,9745.079
Europe,Germany,11-10-2021,4323346,94308,51529.46,1124.046,75158696,0.066,109141510,57022688,54312772,83900471,237.016,46.6,21.453,15.957,45229.245
Africa,Ghana,11-10-2021,128368,1158,4045.364,36.493,,,2189552,1369515,820037,31732128,126.719,21.1,3.385,1.948,4227.63
Europe,Gibraltar,11-10-2021,,,,,,,79927,39955,39698,33691,3457.1,,,,
Europe,Greece,11-10-2021,679157,15177,65487.761,1463.443,21991126,0.012,12315494,6504849,6255864,10370747,83.479,45.3,20.396,14.524,24574.382
North America,Greenland,11-10-2021,,,,,,,76359,39951,36408,56868,0.137,,,,
North America,Grenada,11-10-2021,5653,183,50019.909,1619.254,,,62095,35762,26333,113015,317.132,29.4,7.304,5.021,13593.877
North America,Guatemala,11-10-2021,579774,14066,31768.668,770.745,2228737,0.165,7650606,4844170,2806436,18249868,157.834,22.9,4.694,3.016,7423.808
Europe,Guernsey,05-10-2021,,,,,,,102157,,,67052,,,,,
Africa,Guinea,11-10-2021,30523,383,2261.426,28.376,,,1857641,1256095,601546,13497237,51.755,19,3.135,1.733,1998.926
Africa,Guinea-Bissau,11-10-2021,6119,141,3035.986,69.958,,,117768,108632,9139,2015490,66.191,19.4,3.002,1.565,1548.675
South America,Guyana,11-10-2021,33748,842,42701.204,1065.379,,,586207,366190,220017,790329,3.952,26.3,5.305,2.837,7435.047
North America,Haiti,11-10-2021,22614,643,1959.333,55.711,,,88133,62929,25545,11541683,398.448,24.3,4.8,2.954,1653.173
North America,Honduras,11-10-2021,370262,10009,36794.417,994.634,,,5817602,3336972,2481005,10062994,82.805,24.9,4.652,2.883,4541.795
Asia,Hong Kong,11-10-2021,12268,213,1624.298,28.201,25906063,0,8835322,4540819,4294503,7552800,7039.714,44.8,16.303,10.158,56054.92
Europe,Hungary,11-10-2021,829456,30303,86095.293,3145.37,6620866,0.05,12111107,5911737,5682396,9634162,108.043,43.4,18.577,11.976,26777.561
Europe,Iceland,11-10-2021,12243,33,35656.454,96.109,650933,,558483,282036,277210,343360,3.404,37.3,14.431,9.207,46482.958
Asia,India,11-10-2021,33985920,450963,24390.483,323.64,583631490,0.014,954908095,685337489,269570606,1393409033,450.419,28.2,5.989,3.414,6426.674
Asia,Indonesia,11-10-2021,4228552,142716,15300.784,516.41,,,157929575,100322375,57607200,276361788,145.725,29.3,5.319,3.053,11188.744
Asia,Iran,11-10-2021,5716394,122868,67228.947,1445.017,33350660,0.106,57676540,40961153,16715387,85028760,49.831,32.4,5.44,3.182,19082.62
Asia,Iraq,11-10-2021,2024705,22591,49167.968,548.6,15338457,0.107,,,,41179351,88.125,20,3.186,1.957,15663.986
Europe,Ireland,11-10-2021,404514,5280,81180.372,1059.623,7668724,0.073,7238787,3777477,3697101,4982904,69.874,38.7,13.928,8.678,67335.293
Europe,Isle of Man,10-10-2021,,,,,,,129494,65485,64009,85410,147.872,,,,
Asia,Israel,11-10-2021,1307870,7940,148794.463,903.322,28327710,0.021,15647667,6188116,5687293,8789776,402.606,30.6,11.733,7.359,33132.32
Europe,Italy,11-10-2021,4701832,131335,77886.847,2175.592,95331171,0.009,86449863,45821960,41766516,60367471,205.859,47.9,23.021,16.24,35220.084
North America,Jamaica,11-10-2021,86384,2025,29051.658,681.024,617665,0.141,836309,551804,319092,2973462,266.879,31.4,9.684,6.39,8193.571
Asia,Japan,11-10-2021,1712127,17972,13582.834,142.577,24344819,0.014,175700765,93651522,82049243,126050796,347.778,48.2,27.049,18.493,39002.223
Europe,Jersey,06-10-2021,,,,,,,159090,77925,74198,101073,,,,,
Asia,Jordan,11-10-2021,834778,10818,81290.896,1053.46,10237614,0.036,7153612,3784104,3369508,10269022,109.285,23.2,3.81,2.361,8337.49
Asia,Kazakhstan,11-10-2021,984398,16473,51824.174,867.23,,,14760444,7859131,6901313,18994958,6.681,30.6,6.991,4.625,24055.588
Africa,Kenya,11-10-2021,251248,5190,4569.333,94.388,,,4183552,3135700,1047852,54985702,87.324,20,2.686,1.528,2993.028
Oceania,Kiribati,11-10-2021,2,,16.476,,,,45402,37643,7759,121388,143.701,23.2,3.895,2.21,1981.132
Europe,Kosovo,11-10-2021,160400,2972,90346.957,1674.01,1217376,0.013,1456845,824278,632567,1775378,168.155,,,,9795.834
Asia,Kuwait,11-10-2021,412121,2455,95209.877,567.164,4389988,0.002,,,,4328553,232.128,33.7,2.345,1.114,65530.537
