seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
29640,2021,4897,Xavier Tillman Sr.,NA,PF,22,1,NBA,MEM,59,12,1085,5.5,9.9,0.559,0.7,2.2,0.338,4.8,7.8,0.62,1.1,1.8,0.642,2.5,6,8.5,2.5,1.5,1.1,1.5,3.8,12.9
29641,2021,4461,Yogi Ferrell,NA,PG,27,5,NBA,TOT,10,0,136,5.3,15.1,0.351,2.4,7.4,0.321,2.9,7.7,0.379,1.9,2.4,0.778,1.3,3.7,5,5.8,1.9,0.8,0.8,2.9,14.8
29642,2021,4461,Yogi Ferrell,NA,PG,27,5,NBA,CLE,2,0,40,7.2,18.9,0.381,2.7,8.1,0.333,4.5,10.8,0.417,0,1.8,0,2.7,3.6,6.3,4.5,2.7,0.9,2.7,3.6,17.1
29643,2021,4461,Yogi Ferrell,NA,PG,27,5,NBA,LAC,8,0,96,4.5,13.5,0.333,2.3,7.1,0.316,2.3,6.4,0.353,2.6,2.6,1,0.7,3.7,4.5,6.4,1.5,0.7,0,2.6,13.9
29644,2021,4684,Yuta Watanabe,NA,SF,26,3,NBA,TOR,50,4,723,3.9,9,0.439,1.8,4.5,0.4,2.1,4.5,0.478,1.2,1.4,0.828,1.8,6.1,7.9,2,1.3,0.9,0.9,2.8,10.9
29645,2021,4299,Zach LaVine,NA,SG,25,7,NBA,CHI,58,58,2034,10.1,19.9,0.507,3.5,8.4,0.419,6.5,11.4,0.571,4.5,5.3,0.849,0.6,4.5,5.1,5,0.8,0.5,3.6,2.4,28.2
29646,2021,4898,Zeke Nnaji,NA,PF,20,1,NBA,DEN,42,1,397,4.5,9.4,0.481,2.2,5.4,0.407,2.4,4.1,0.578,1.1,1.4,0.8,1.3,4.6,5.9,0.9,0.7,0.4,0.6,2.6,12.3
29647,2021,4803,Zion Williamson,NA,PF,20,2,NBA,NOP,61,61,2026,11.3,18.4,0.611,0.2,0.6,0.294,11.1,17.8,0.622,6.6,9.4,0.698,3,4.9,7.8,4,1,0.7,3,2.4,29.3
28292,2020,4219,Aaron Gordon,NA,PF,24,6,NBA,ORL,62,62,2017,6,13.7,0.437,1.3,4.2,0.308,4.7,9.5,0.494,2.7,4,0.674,1.9,6.6,8.5,4.1,0.9,0.7,1.8,2.2,16
28293,2020,4582,Aaron Holiday,NA,PG,23,2,NBA,IND,66,33,1617,5.2,12.5,0.414,1.9,4.9,0.394,3.3,7.6,0.427,1.6,1.9,0.851,0.5,3,3.5,5,1.2,0.4,2,2.7,14
28294,2020,4463,Abdel Nader,NA,SF,26,3,NBA,OKC,55,6,867,5.1,10.9,0.468,2,5.3,0.375,3.1,5.6,0.556,2.1,2.7,0.773,0.6,3.6,4.2,1.6,1,0.8,1.8,3.2,14.3
28295,2020,4687,Adam Mokoka,NA,SF,21,1,NBA,CHI,11,0,112,3.9,9,0.429,1.9,4.8,0.4,1.9,4.2,0.462,0.6,1.3,0.5,2.3,1,3.2,1.3,1.3,0,0.6,5.5,10.3
28296,2020,4688,Admiral Schofield,NA,PF,22,1,NBA,WAS,33,2,368,3.4,9,0.38,1.9,6,0.311,1.6,3,0.516,1,1.5,0.667,0.7,3.9,4.6,1.5,0.8,0.4,0.7,4.9,9.7
28297,2020,3734,Al Horford,NA,C,33,13,NBA,PHI,67,61,2025,5.7,12.6,0.45,1.8,5,0.35,3.9,7.6,0.516,1.1,1.4,0.763,1.8,6.3,8.1,4.8,0.9,1.1,1.4,2.5,14.2
28298,2020,3915,Al-Farouq Aminu,NA,PF,29,10,NBA,ORL,18,2,380,2.4,8.1,0.291,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6,8.2,2,1.7,0.8,1.6,2.6,7.4
28299,2020,3982,Alec Burks,NA,SF-SG,28,9,NBA,TOT,66,19,1754,6.6,15.8,0.418,2.4,6.2,0.385,4.2,9.6,0.439,4.8,5.4,0.887,1,4.8,5.8,3.9,1.3,0.3,1.9,2.6,20.4
28300,2020,3982,Alec Burks,NA,SF,28,9,NBA,GSW,48,18,1390,6.3,15.6,0.406,2.2,5.8,0.375,4.1,9.8,0.424,5.2,5.8,0.897,1,4.9,5.9,3.9,1.3,0.4,2,2.8,20
28301,2020,3982,Alec Burks,NA,SG,28,9,NBA,PHI,18,1,364,7.6,16.5,0.461,3.2,7.6,0.416,4.5,8.9,0.5,3.4,4.1,0.829,1.1,4.5,5.5,3.8,1.2,0,1.5,2.1,21.8
28302,2020,4689,Alen Smailagić,NA,C,19,1,NBA,GSW,14,0,139,5.2,10.4,0.5,0.8,3.4,0.231,4.4,7,0.63,4.1,4.9,0.842,2.6,4.4,7,3.4,0.8,1,2.8,3.6,15.3
28303,2020,4465,Alex Caruso,NA,PG,25,3,NBA,LAL,64,2,1175,3.7,8.9,0.412,1.2,3.7,0.333,2.5,5.2,0.468,2.1,2.9,0.734,0.5,3.2,3.8,3.8,2.1,0.6,1.6,3,10.7
28304,2020,4142,Alex Len,NA,C,26,7,NBA,TOT,55,12,970,6.6,11.8,0.555,0.6,2.2,0.271,6,9.6,0.619,2.5,3.9,0.648,3.7,8.2,11.9,1.9,0.9,1.8,2,4.7,16.3
28305,2020,4142,Alex Len,NA,C,26,7,NBA,ATL,40,9,745,6.9,12.6,0.546,0.7,2.7,0.25,6.2,9.9,0.627,2.5,3.9,0.63,3.3,7.8,11.1,2,1,1.6,1.9,4.5,16.9
28306,2020,4142,Alex Len,NA,C,26,7,NBA,SAC,15,3,225,5.6,9.4,0.593,0.3,0.5,0.667,5.3,9,0.589,2.7,3.8,0.708,5,9.6,14.6,1.3,0.5,2.4,2.6,5.4,14.2
28307,2020,4466,Alfonzo McKinnie,NA,SF,27,3,NBA,CLE,40,1,593,4.4,10.4,0.427,0.8,3.9,0.215,3.6,6.4,0.557,1.3,1.9,0.71,2.2,4.6,6.9,0.8,1.4,0.5,1.6,4.4,11
28308,2020,4583,Alize Johnson,NA,PF,23,2,NBA,IND,17,1,118,3.7,8.8,0.414,0.9,2.4,0.375,2.7,6.4,0.429,2.1,3.1,0.7,4.9,9.8,14.6,2.1,0.9,0.6,2.1,3.7,10.4
28309,2020,4143,Allen Crabbe,NA,SG-SF,27,7,NBA,TOT,37,1,653,3.5,9.8,0.356,2,6.6,0.303,1.5,3.2,0.466,0.6,0.8,0.714,0.6,3.6,4.2,1.8,0.8,0.2,0.9,2.6,9.5
28310,2020,4143,Allen Crabbe,NA,SG,27,7,NBA,ATL,28,1,522,3.6,9.9,0.364,2.1,6.4,0.323,1.5,3.4,0.44,0.6,0.8,0.75,0.7,3.8,4.5,1.9,1,0.3,0.8,2.5,9.9
28311,2020,4143,Allen Crabbe,NA,SF,27,7,NBA,MIN,9,0,131,3,9.3,0.324,1.6,7.1,0.231,1.4,2.2,0.625,0.3,0.5,0.5,0.3,3,3.3,1.4,0,0,1.4,3,8
28312,2020,4584,Allonzo Trier,NA,SG,24,2,NBA,NYK,24,1,291,6.3,13.1,0.481,2.4,6.6,0.358,4,6.6,0.604,4.2,5.3,0.791,0.7,2.8,3.6,3.5,0.4,0.5,2.7,3.6,19.2
28313,2020,4585,Amile Jefferson,NA,PF,26,2,NBA,ORL,18,0,74,2.4,6.8,0.357,0,0,NA,2.4,6.8,0.357,2.4,6.8,0.357,4.9,6.3,11.2,1.9,0.5,1.5,1.5,3.4,7.3
28314,2020,4690,Amir Coffey,NA,SG,22,1,NBA,LAC,18,1,159,5.2,12.2,0.426,1.4,4.3,0.316,3.8,7.9,0.486,1.4,2.5,0.545,0.9,2.7,3.6,3.2,1.1,0.5,1.8,4.5,13.1
28315,2020,4064,Andre Drummond,NA,C,26,8,NBA,TOT,57,56,1879,8,15,0.533,0.1,0.7,0.143,7.9,14.4,0.551,3.2,5.6,0.575,4.8,11.8,16.6,2.9,2.1,1.8,3.9,3.9,19.4
28316,2020,4064,Andre Drummond,NA,C,26,8,NBA,DET,49,48,1654,7.8,14.8,0.53,0,0.5,0.048,7.8,14.3,0.546,3.2,5.6,0.584,4.9,11.9,16.9,3,2.1,1.8,3.8,3.8,18.9
28317,2020,4064,Andre Drummond,NA,C,26,8,NBA,CLE,8,8,225,9.3,16.8,0.552,0.6,2.2,0.286,8.6,14.6,0.593,3.2,6.2,0.513,3.8,10.4,14.2,2.2,1.9,1.8,4.6,4,22.4
28318,2020,3500,Andre Iguodala,NA,SF,36,16,NBA,MIA,21,0,418,3.3,7.6,0.432,1.2,4,0.298,2.1,3.5,0.585,0.5,1.3,0.4,1.5,5.3,6.7,4.4,1.2,1.8,2.2,3,8.3
28319,2020,4144,Andre Roberson,NA,SF,28,6,NBA,OKC,7,0,87,3.3,12,0.276,1.2,5.8,0.214,2.1,6.2,0.333,0.4,0.8,0.5,2.9,8.3,11.2,1.7,0.4,1.2,0.8,5.4,8.3
28320,2020,4223,Andrew Wiggins,NA,SF,24,6,NBA,TOT,54,54,1858,8.5,18.9,0.447,2.2,6.5,0.332,6.3,12.5,0.506,3.7,5.2,0.709,1.3,4,5.3,3.8,0.9,1,2.6,2.5,22.8
28321,2020,4223,Andrew Wiggins,NA,SF,24,6,NBA,MIN,42,42,1455,8.7,19.5,0.444,2.3,6.8,0.331,6.4,12.7,0.505,3.7,5.1,0.72,1.2,4.2,5.4,3.8,0.7,0.9,2.6,2.5,23.3
28322,2020,4223,Andrew Wiggins,NA,SF,24,6,NBA,GSW,12,12,403,7.7,16.8,0.457,1.8,5.3,0.339,5.9,11.5,0.512,3.7,5.4,0.672,1.6,3.3,4.9,3.8,1.4,1.5,2.2,2.3,20.8
