Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
HON,2015,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$79.82 B,$38.58 B,$6.89 B
HON,2016,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$88.29 B,$39.30 B,$6.78 B
HON,2017,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$116.06 B,$40.53 B,$7.21 B
HON,2018,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$96.39 B,$41.80 B,$7.85 B
HON,2019,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$125.86 B,$36.70 B,$7.91 B
HON,2020,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$149.24 B,$32.63 B,$6.37 B
HON,2021,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$143.54 B,,
HON,2022,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$128.54 B,,
LDO.MI,2009,Leonardo,Italy,Aerospace|Defense contractors,,$20.73 B,$2.75 B
LDO.MI,2010,Leonardo,Italy,Aerospace|Defense contractors,,$21.24 B,$2.35 B
LDO.MI,2011,Leonardo,Italy,Aerospace|Defense contractors,,$19.72 B,-$1.67 B
LDO.MI,2012,Leonardo,Italy,Aerospace|Defense contractors,,$19.56 B,-$0.56 B
LDO.MI,2013,Leonardo,Italy,Aerospace|Defense contractors,,$18.25 B,-$0.04 B
LDO.MI,2014,Leonardo,Italy,Aerospace|Defense contractors,,$16.69 B,$0.57 B
LDO.MI,2015,Leonardo,Italy,Aerospace|Defense contractors,,$14.79 B,$0.86 B
LDO.MI,2016,Leonardo,Italy,Aerospace|Defense contractors,,$13.73 B,$3.57 B
LDO.MI,2017,Leonardo,Italy,Aerospace|Defense contractors,,$13.12 B,$3.60 B
LDO.MI,2018,Leonardo,Italy,Aerospace|Defense contractors,,$13.93 B,$0.76 B
LDO.MI,2019,Leonardo,Italy,Aerospace|Defense contractors,,$15.69 B,$1.21 B
LDO.MI,2020,Leonardo,Italy,Aerospace|Defense contractors,,$15.26 B,$0.55 B
LHX,2001,L3Harris Technologies,USA,Defense contractors,$2.01 B,$1.90 B,$0.13 B
LHX,2002,L3Harris Technologies,USA,Defense contractors,$1.74 B,$1.95 B,$0.10 B
LHX,2003,L3Harris Technologies,USA,Defense contractors,$2.51 B,$2.28 B,$0.13 B
LHX,2004,L3Harris Technologies,USA,Defense contractors,$4.11 B,$2.75 B,$0.24 B
LHX,2005,L3Harris Technologies,USA,Defense contractors,$5.72 B,$3.19 B,$0.33 B
LHX,2006,L3Harris Technologies,USA,Defense contractors,$6.09 B,$3.83 B,$0.54 B
LHX,2007,L3Harris Technologies,USA,Defense contractors,$8.48 B,$4.82 B,$0.59 B
LHX,2008,L3Harris Technologies,USA,Defense contractors,$5.12 B,$5.65 B,$0.75 B
LHX,2009,L3Harris Technologies,USA,Defense contractors,$6.26 B,$4.53 B,$0.82 B
LHX,2010,L3Harris Technologies,USA,Defense contractors,$5.69 B,$5.62 B,$1.02 B
LHX,2011,L3Harris Technologies,USA,Defense contractors,$4.05 B,$5.98 B,$0.89 B
LHX,2012,L3Harris Technologies,USA,Defense contractors,$5.50 B,$5.10 B,$0.94 B
LHX,2013,L3Harris Technologies,USA,Defense contractors,$7.44 B,$4.97 B,$0.76 B
LHX,2014,L3Harris Technologies,USA,Defense contractors,$7.51 B,$4.95 B,$0.86 B
LHX,2015,L3Harris Technologies,USA,Defense contractors,$10.81 B,$6.37 B,$0.41 B
LHX,2016,L3Harris Technologies,USA,Defense contractors,$12.73 B,$7.26 B,$1.13 B
LHX,2017,L3Harris Technologies,USA,Defense contractors,$16.79 B,$5.97 B,$1.09 B
LHX,2018,L3Harris Technologies,USA,Defense contractors,$15.85 B,$6.44 B,$1.16 B
LHX,2019,L3Harris Technologies,USA,Defense contractors,$43.74 B,$12.85 B,$1.71 B
LHX,2020,L3Harris Technologies,USA,Defense contractors,$39.71 B,$18.19 B,$1.59 B
LHX,2021,L3Harris Technologies,USA,Defense contractors,$41.84 B,,
LHX,2022,L3Harris Technologies,USA,Defense contractors,$51.52 B,,
LMT,2001,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$20.69 B,$23.99 B,$0.88 B
LMT,2002,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$26.31 B,$26.57 B,$1.15 B
LMT,2003,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$22.98 B,$31.82 B,$2.01 B
