Rank,University,Town
257,Universitas Islam Jakarta,Jakarta
258,Universitas Sangga Buana,Bandung
259,Universitas Malahayati,Bandar Lampung
260,Universitas Alkhairaat,Palu
261,Universitas Indo Global Mandiri,Palembang
262,Universitas Muhammadiyah Sumatera Barat,Padang
263,Universitas Batanghari,Jambi
264,Universitas Muhammadiyah Bengkulu,Bengkulu
265,Universitas Islam Lamongan,Lamongan
266,Universitas Nahdlatul Ulama Blitar,Blitar
267,Universitas Dharma Andalas,Padang
268,Universitas Abdurrab,Pekanbaru
269,Universitas Klabat,Minahasa Utara
270,Universitas Widya Gama,Malang
271,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Jambi
272,Universitas Bhayangkara Surabaya,Surabaya
273,Universitas Respati Yogyakarta,Sleman
274,Universitas Wijaya Putra,Surabaya
275,Universitas Wisnuwardhana,Malang
276,Universitas Wiralodra,Indramayu
277,Universitas Nusa Putra,Sukabumi
278,Universitas Nurul Jadid,Probolinggo
279,Universitas Prof. Dr. Moestopo,Jakarta
280,Universitas Surya,Tangerang
281,Universitas Islam Syekh-Yusuf,Tangerang
282,Universitas Pasir Pengaraian,Rokan Hulu
283,Universitas Sembilanbelas November Kolaka,Kolaka
284,Universitas Internasional Semen Indonesia,Gresik
285,Universitas Surakarta,Surakarta
286,Universitas Islam Nusantara,Bandung
287,Universitas Islam Kadiri,Kediri
288,Universitas Muslim Nusantara Al-Washliyah,Medan
289,Universitas Kadiri,Kediri
290,Universitas Baiturrahmah,Padang
291,Universitas Al Muslim,Bireuen
292,Universitas Hindu Indonesia,Denpasar
293,Universitas Muhammadiyah Gorontalo,Gorontalo
294,Universitas Islam 45 Bekasi,Bekasi
295,Universitas Timor,Kefamenanu
296,Universitas Langlangbuana,Bandung
297,Universitas Widya Mataram,Yogyakarta
298,Universitas Merdeka Madiun,Madiun
299,Universitas Abulyatama,Aceh Besar
300,Universitas Krisnadwipayana,Jakarta
301,Universitas Widya Kartika,Surabaya
302,Universitas Maarif Hasyim Latif,Sidoarjo
303,Universitas Atma Jaya Makassar,Makassar
304,Universitas Islam Majapahit,Mojokerto
305,Universitas Patria Artha,Makassar
306,Universitas Ubudiyah Indonesia,Banda Aceh
307,Universitas Bung Karno,Jakarta
308,Universitas Islam Batik,Surakarta
309,Universitas Dhyana Pura,Badung
310,Universitas Satyagama,Jakarta
311,Universitas Bojonegoro,Bojonegoro
312,Universitas Widya Dharma,Klaten
313,Universitas Muhammadiyah Kendari,Kendari
314,Universitas Dian Nusantara,Medan
315,Universitas Teknologi Sumbawa,Sumbawa
316,Universitas Suryakancana,Cianjur
317,Universitas Veteran Bangun Nusantara,Sukoharjo
318,Universitas Ekasakti,Padang
319,Universitas Madura,Pamekasan
320,Universitas Teknologi Sulawesi Utara,Manado
321,Universitas Pandanaran,Semarang
322,Universitas Buddhi Dharma,Tangerang
323,Universitas Asahan,Asahan
324,Universitas Katolik De La Salle,Manado
325,Universitas Muhammadiyah Tasikmalaya,Tasikmalaya
326,Universitas Muhammadiyah Tapanuli Selatan,Padang Sidempuan
327,Universitas KH. A. Wahab Hasbullah,Kabupaten Jombang
328,Universitas Darma Agung,Medan
329,Universitas Wijaya Kusuma Purwokerto,Purwokerto
330,Universitas Tunas Pembangunan,Surakarta
331,Universitas PGRI Banyuwangi,Banyuwangi
332,Universitas Trilogi,Jakarta
333,Universitas Sahid Surakarta,Surakarta
334,Universitas Kebangsaan,Bandung
335,Universitas Gajayana Malang,Malang
336,Universitas Wiraraja,Sumenep
337,Universitas Katolik Musi Charitas,Palembang
338,Universitas Katolik Widya Karya,Malang
339,Universitas PGRI Ronggolawe,Tuban
340,Universitas Islam Raden Rahmat,Malang
341,Universitas Nahdlatul Ulama Sidoarjo,Sidoarjo
342,Universitas Dharmawangsa,Medan
343,Universitas Katolik Santo Thomas,Medan
344,Universitas Pahlawan Tuanku Tambusai,Kampar
345,Universitas Dirgantara Marsekal Suryadarma,Jakarta
346,Universitas Abdurachman Saleh,Situbondo
347,Universitas Katolik Widya Mandala Madiun,Madiun
348,Universitas Kristen Indonesia Paulus,Makassar
349,Universitas Satya Negara Indonesia,Jakarta
350,Universitas Islam Madura Pamekasan,Pamekasan
351,Universitas Mpu Tantular,Jakarta
352,Universitas Tridinanti Palembang,Palembang
353,Universitas Kutai Kartanegara,Kutai Kartanegara
354,Universitas Duta Bangsa Surakarta,Surakarta
355,Universitas Cokroaminoto Yogyakarta,Yogyakarta
356,Universitas Bosowa,Makassar
357,Universitas Muhammadiyah Parepare,Parepare
358,Universitas Nusa Bangsa,Bogor
359,Universitas Muhammadiyah Sorong,Sorong
360,Universitas Hasyim Asy'ari,Jombang
361,Universitas Sari Mutiara Indonesia,Medan
362,Universitas Panca Bhakti,Pontianak
363,Universitas Tanri Abeng,Jakarta
364,Universitas Gorontalo,Gorontalo
365,Universitas Islam As-Syafiiyah,Jakarta
366,Universitas Widya Gama Mahakam Samarinda,Samarinda
367,Universitas Lintas Internasional Indonesia,BSD City
368,Universitas Islam Attahiriyah,Jakarta
369,Universitas Nahdlatul Ulama Al Ghazali,Cilacap
370,Universitas Islam Balitar,Blitar
371,Universitas Islam Indragiri,Indragiri Hilir
372,Universitas AKI,Semarang
373,Universitas Cokroaminoto Makassar,Makassar
374,Universitas Subang,Subang
375,Universitas Katolik Darma Cendika,Surabaya
