Date,City,State,Dead,Injured,Total,Description
2022-05-01,Clinton,North Carolina,1,3,4,"A party being held at a park ended in gunfire, with four people being shot. One person succumbed to their injuries."
2022-04-30,Jackson,Mississippi,1,5,6,A shooting by multiple people at a festival wounded five. One of the shooters was fatally shot by a responding officer.
2022-04-30,Atlanta,Georgia,1,4,5,"A fight in the Rosedale Heights neighborhood led to a shooting that killed one, and injured four others."
2022-04-29,Laurel,Mississippi,0,4,4,A shooting at a party injured four.
2022-04-29,Knoxville,Tennessee,2,2,4,"Two people were killed, and three others were injured, after a fight between two biker gangs led to a gunfight in a bar parking lot in the Fountain City neighborhood."
2022-04-29,New Orleans,Louisiana,0,6,6,A shootout at a bar between two groups of people wounded six people in the 11th Ward neighborhood.
2022-04-29,Jackson,Tennessee,2,2,4,"Four teenagers were shot, two fatally, in a drive by shooting."
2022-04-28,Bessemer,Alabama,1,3,4,"A woman was killed, and three other people were injured, including a teenager, in a revenge shooting."
2022-04-27,Opelousas,Louisiana,2,3,5,"An argument between two men escalated into a shooting that killed a young girl, and another man. Three children, including a toddler, were also shot."
2022-04-27,Chicago,Illinois,0,4,4,"Four people, including a teenager, were wounded in a drive-by shooting in the West Garfield Park neighborhood."
2022-04-27,Biloxi and Gulfport,Mississippi,4,0,4,"A man fatally shot three people, including the owner, at a motel in Biloxi before fleeing westward to Gulfport. In Gulfport, he fatally shot another man and carjacked his vehicle, before barricading himself inside a convenience store. The shooter assaulted two employees of the convenience store, but they escaped unharmed, after which he barricaded himself inside an office. The shooter set a fire in the room which caused him to die of smoke inhalation."
2022-04-27,Phoenix,Arizona,0,4,4,Four people were shot during an argument in the Maryvale Village neighborhood.
2022-04-27,San Antonio,Texas,0,4,4,"During the filming of a music video at a barber shop, at least one person opened fire from a passing vehicle, wounding four. A fifth person was injured while trying to flee."
2022-04-26,Rock Hill,South Carolina,3,1,4,Three teenagers were fatally shot on a road in northwest Rock Hill. Another person was shot but survived.
2022-04-25,Birmingham,Alabama,1,3,4,"A shooting at a gathering at a Shell gas station wounded three people, and killed one."
2022-04-24,Lafayette,Indiana,2,4,6,"A fight at a house party led to six people being shot, with two dying from their injuries."
2022-04-24,Myrtle Beach,South Carolina,1,3,4,"Four people were shot, one fatally, during the early morning hours."
2022-04-23,Rocky Mount,North Carolina,0,4,4,A fight at a sports bar led to a shooting that injured four during the early morning hours in the Goldest East neighborhood.
2022-04-23,Chicago,Illinois,2,2,4,"Four people were shot, two fatally, in a drive-by shooting in the West Englewood neighborhood."
2022-04-23,Atlanta,Georgia,0,5,5,Five people were shot in the Hotel District neighborhood during the late night hours.
2022-04-23,San Bernardino,California,1,4,5,"Five people were shot, one fatally, in a shooting at a bar in the Muscupiabe neighborhood."
2022-04-22,Washington D.C.,Washington D.C.,1,4,5,"A 23-year old man shot at random people at Edmund Burke School from his apartment with a sniper-style set-up, wounding four—including a child, in the Forest Hills neighborhood. The man committed suicide as officers entered his apartment."
2022-04-22,Petersburg,Virginia,0,4,4,Four people were injured in a shooting during the night in central Petersburg.
2022-04-22,Cincinnati,Ohio,0,4,4,Four people were injured in the Walnut Hills neighborhood.
2022-04-21,Mountain View,Arkansas,4,0,4,A man shot to death his parents and another couple a quarter-mile apart from each other inside their homes.
2022-04-20,Duluth,Minnesota,5,0,5,"A man shot four of his family members, including two children, as they slept before shooting himself."
2022-04-18,Cooleemee,North Carolina,4,0,4,A man shot his girlfriend and their two young children before shooting himself.
2022-04-17,Golden Glades,Florida,1,3,4,"A fight at an Easter party being held at a home ended in gunshots, with a man being killed and three others, including two juveniles, being injured."
2022-04-17,Portland,Oregon,1,3,4,"One teenage boy died, and three others are in a hospital, after a shooting in the Centennial neighborhood."
2022-04-17,Philadelphia,Pennsylvania,0,4,4,Four people were shot in the Fairhill neighborhood.
2022-04-17,Furman,South Carolina,0,9,9,A shooting at an Easter party being hosted at a nightclub wounded nine.
2022-04-17,Sacramento,California,1,3,4,"A shooting in the Parkway neighborhood wounded three, and killed one, during the early morning hours."
2022-04-17,Pittsburgh,Pennsylvania,2,9,11,"2022 Pittsburgh shooting: An early morning shooting at a party held at an Airbnb rental property in the East Allegheny neighborhood killed two juveniles, and wounded nine others. Five people sustained injuries such as broken bones and cuts when they jumped out windows to escape the gunfire."
2022-04-17,Baldwin,Louisiana,0,5,5,Five people were shot during the late evening hours.
2022-04-16,Milledgeville,Georgia,0,4,4,"An argument between two men at a bar escalated, with them opening fire on each other and wounding one another. Two bystanders were also shot."
2022-04-16,Columbia,South Carolina,0,9,9,"Columbiana Centre shooting: Nine people were shot, and five others were injured while fleeing a shooting at the Columbiana Centre, after at least one person opened fire."
2022-04-16,Syracuse,New York,1,4,5,"Shortly after midnight, five people were shot, one fatally, in the Armory Square neighborhood."
2022-04-16,North Las Vegas,Nevada,0,4,4,"Four people were shot, including two children, during a house party."
2022-04-16,Baltimore,Maryl,1,3,4,"A shooting killed one, and injured three others, in northwest Baltimore during the evening."
2022-04-16,Paw Paw,Michigan,0,4,4,An exchange of gunfire behind a bar left four wounded.
2022-04-16,Pittsburg,Texas,1,6,7,"Seven people were shot, one fatally, during a shooting at a pasture party and trail ride."
2022-04-15,Stockton,California,2,2,4,"A group of people approached another group and opened fire, killing two and wounding two others in the Pacific neighborhood."
