RANKING ,VIDEO GAME NAME ,Year,genre,Rating,DETAILS,DIRECTOR ,ACTOR-1,ACTOR-2,ACTOR-3,ACTOR-4,VOTES ,certificate
68,Ori and the Will of the Wisps,(2020 Video Game),"Adventure, Fantasy",9.1,"Ori begins a new journey that goes beyond the forest of Nibel where he uncovers lost secrets, and unearths his true destiny.",Erik Braa,Boris Hiestand,Jennifer Losi,Tiana Camacho,,856,E
69,Resident Evil 2,(2019 Video Game),"Action, Horror, Sci-Fi",9.1,"Re-imagining of  (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.",Yasuhiro Anpo,Eliza Pryor,Nick Apostolides,Stephanie Panisello,Jolene Andersen,5992,M
70,Dark Souls III,(2016 Video Game),"Action, Adventure, Fantasy",9.1,"The fire is fading. Darkness creeps across the land. The Lords of Cinder charged with watching over the First Flame have abandoned their thrones. The Champion of Ash, an undead is chosen to return them to their thrones.",Hidetaka Miyazaki,Roger Ringrose,Yui Tanimura,Pik Sen Lim,Olivia Mace,3529,M
71,Horizon Zero Dawn,(2017 Video Game),"Action, Adventure, Mystery",9.1,"In a primitive tribal world where strange, monstrous, animalistic machines roam the wilderness, a brave young female warrior goes on a quest to learn the truth about her mysterious origin and the state the world is in.",Mathijs de Jonge,Ashly Burch,Laura van Tol,Ava Potter,JB Blanc,11909,T
72,Mob of the Dead,(2013 Video Game),"Action, Horror, Thriller",9.1,"Mob of the Dead, featured in the DLC pack Uprising for  (2012) introduces a main Zombies map set in Alcatraz Prison around the 1930's.",Corky Lehmkuhl,Craig Houston,Ray Liotta,Michael Madsen,Nolan North,784,
73,Dark Souls,(2011 Video Game),"Action, Adventure, Fantasy",9.1,"After narrowly escaping a doomed fate in an asylum, an undead warrior fights his way through the desolate remains of Lordran, once a sprawling utopia lead by the gods, to seek his purpose and fulfill a centuries old prophecy.",Hidetaka Miyazaki,Adam Sopp,Andy Gathergood,Blake Ritson,Charlie Cameron,4104,M
74,Mass Effect 3,(2012 Video Game),"Action, Adventure, Sci-Fi",9.1,"Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.",Casey Hudson,Jennifer Hale,Mark Meer,Kimberly Brooks,Raphael Sbarge,15007,M
75,BioShock Infinite,(2013 Video Game),"Action, Adventure, Drama",9.1,"A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.",Ken Levine,Troy Baker,Courtnee Draper,Kiff VandenHeuvel,Laura Bailey,19265,M
76,Dragon Age: Origins,(2009 Video Game),"Action, Adventure, Fantasy",9.1,"After four hundred years since the last Blight, a new Archdemon seeks to destroy the land of Ferelden. It is up to the player - as one of the remaining Grey Wardens - to unite the divided armies of Ferelden and save humanity.",Dan Tudge,Steve Valentine,Peter Renaday,Kate Mulgrew,Tim Curry,7669,M
77,Gothic II: Night of the Raven,(2003 Video Game),"Action, Adventure, Fantasy",9,"Expansion pack for  (2002) with the addition of a world called Jharkendar, and new attributes, items, and weapons.",,,,,,372,
